HITId,WorkerId,WorkTimeInSeconds,InstanceIds
74da58deea8f346671c3b0a1d0bef6e320eebee0,5175bbb0c623c6452b04b8f89a19fd3b9c22f8ab,249,"n02963159_285.JPEG, n04133789_390.JPEG, n04456115_424.JPEG, n02769748_220.JPEG, n02963159_56.JPEG, n03706229_1.JPEG, n02963159_203.JPEG, n03838899_174.JPEG, n02963159_367.JPEG, n03706229_447.JPEG"
74da58deea8f346671c3b0a1d0bef6e320eebee0,8327a817d5bcc230f35e9bdcdefa503ca9d1ee1b,140,"n02963159_285.JPEG, n04133789_390.JPEG, n04456115_424.JPEG, n02769748_220.JPEG, n02963159_56.JPEG, n03706229_1.JPEG, n02963159_203.JPEG, n03838899_174.JPEG, n02963159_367.JPEG, n03706229_447.JPEG"
74da58deea8f346671c3b0a1d0bef6e320eebee0,c20b9a16dc76249d3ede03a217da69c9d89fb770,190,"n02963159_285.JPEG, n04133789_390.JPEG, n04456115_424.JPEG, n02769748_220.JPEG, n02963159_56.JPEG, n03706229_1.JPEG, n02963159_203.JPEG, n03838899_174.JPEG, n02963159_367.JPEG, n03706229_447.JPEG"
e36c8fc9aeb4354e5cd9c2e049b85c071ee59213,89b4c59f995b3cce18a17a6015438679e6bd196f,113,"n02769748_405.JPEG, n09193705_348.JPEG, n03838899_282.JPEG, n07873807_472.JPEG, n04456115_332.JPEG, n03617480_3.JPEG, n03838899_398.JPEG, n03617480_126.JPEG, n02769748_44.JPEG, n02769748_379.JPEG"
e36c8fc9aeb4354e5cd9c2e049b85c071ee59213,42e30be7432ca6f15a2b62a3470500a419665611,424,"n02769748_405.JPEG, n09193705_348.JPEG, n03838899_282.JPEG, n07873807_472.JPEG, n04456115_332.JPEG, n03617480_3.JPEG, n03838899_398.JPEG, n03617480_126.JPEG, n02769748_44.JPEG, n02769748_379.JPEG"
e36c8fc9aeb4354e5cd9c2e049b85c071ee59213,d66c46dbd633d1becfb5754e8622719c463cdc23,311,"n02769748_405.JPEG, n09193705_348.JPEG, n03838899_282.JPEG, n07873807_472.JPEG, n04456115_332.JPEG, n03617480_3.JPEG, n03838899_398.JPEG, n03617480_126.JPEG, n02769748_44.JPEG, n02769748_379.JPEG"
a203aff86ffb4b565df1fb75c5165242bef61c8c,1ace2ba6a4b9f6c4e09fefa7b2f77f2c49537efc,457,"n04133789_386.JPEG, n07873807_170.JPEG, n07873807_431.JPEG, n09193705_146.JPEG, n04456115_38.JPEG, n03617480_488.JPEG, n07873807_324.JPEG, n02769748_202.JPEG, n07873807_313.JPEG, n02769748_306.JPEG"
a203aff86ffb4b565df1fb75c5165242bef61c8c,bdf006624e851095805f741c6730e8f0219ca242,239,"n04133789_386.JPEG, n07873807_170.JPEG, n07873807_431.JPEG, n09193705_146.JPEG, n04456115_38.JPEG, n03617480_488.JPEG, n07873807_324.JPEG, n02769748_202.JPEG, n07873807_313.JPEG, n02769748_306.JPEG"
a203aff86ffb4b565df1fb75c5165242bef61c8c,9f7856957572211fd7e42a5409c9452b1db082a9,563,"n04133789_386.JPEG, n07873807_170.JPEG, n07873807_431.JPEG, n09193705_146.JPEG, n04456115_38.JPEG, n03617480_488.JPEG, n07873807_324.JPEG, n02769748_202.JPEG, n07873807_313.JPEG, n02769748_306.JPEG"
043e4bd43423134e5d2a655a7645a5675cce570f,aa6d08e866135539d2586d3c58e87d5c1b25f073,70,"n02963159_374.JPEG, n03838899_225.JPEG, n02281406_76.JPEG, n02769748_107.JPEG, n04133789_441.JPEG, n02281406_10.JPEG, n07873807_53.JPEG, n09193705_185.JPEG, n03706229_460.JPEG, n04456115_122.JPEG"
043e4bd43423134e5d2a655a7645a5675cce570f,8296b0e83826a337d0501360cc04e1ad29efd27d,308,"n02963159_374.JPEG, n03838899_225.JPEG, n02281406_76.JPEG, n02769748_107.JPEG, n04133789_441.JPEG, n02281406_10.JPEG, n07873807_53.JPEG, n09193705_185.JPEG, n03706229_460.JPEG, n04456115_122.JPEG"
